,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
1258,Hawks Bay,Napier,24-Mar-17,171070,14 Guys Hill Road  ,14 Guys Hill Road,,,,," $4,000.00 ",remove non-compliant fire and flue and replace with new woodburner
1259,Hawks Bay,Napier,24-Mar-17,171092,29 Norfolk Street  ,29 Norfolk Street,,,,," $3,553.00 ",replace existing log burner with new compliant log burner
1262,Hawks Bay,Napier,27-Mar-17,171097,96 Tait Drive  ,96 Tait Drive,,,,," $4,000.00 ",replace existing log burner with new compliant log burner
1267,Hawks Bay,Napier,29-Mar-17,171076,1A Spencer Road  ,1A Spencer Road,,,,," $4,532.00 ",replace existing log burner with new compliant log burner
1269,Hawks Bay,Napier,30-Mar-17,171123,9 Magdalen Crescent  ,9 Magdalen Crescent,,,,," $4,061.00 ",replace existing log burner with new compliant log burner
1270,Hawks Bay,Napier,30-Mar-17,171120,179 Westminster Ave  ,179 Westminster Ave,,,,," $4,023.00 ",replace existing log burner with new compliant log burner
1271,Hawks Bay,Napier,30-Mar-17,171124,48 Waterhouse Street  ,48 Waterhouse Street,,,,," $3,851.00 ",replace existing log burner with new compliant log burner
1287,Hawks Bay,Napier,10-Apr-17,171130,30 Leicester Avenue Tamatea Napier  ,30 Leicester Avenue Tamatea Napier,,,,," $4,204.00 ",to replace non compliant wood fire with a compliant masport
1288,Hawks Bay,Napier,11-Apr-17,171129,18 Surrey Street Taradale Napier  ,18 Surrey Street Taradale Napier,,,,," $4,399.00 ",replace existing free-standing wood burner with a masport
1291,Hawks Bay,Napier,12-Apr-17,171069,7 Alamein Crescent Onekawa Napier  ,7 Alamein Crescent Onekawa Napier,,,,," $4,500.00 ",replace existing wood burner with a free standing metro wee
1292,Hawks Bay,Napier,13-Apr-17,171150,51 Bill Hercock Street Pirimai Napier  ,51 Bill Hercock Street Pirimai Napier,,,,," $3,703.00 ",to replace non compliant wood fire with a compliant masport
1293,Hawks Bay,Napier,13-Apr-17,171147,1/131 Nuffield Avenue Marewa Napier  ,1/131 Nuffield Avenue Marewa Napier,,,,," $3,695.00 ",to replace non compliant wood fire with compliant masport
1295,Hawks Bay,Napier,18-Apr-17,171173,17a Pukekura Place Taradale Napier  ,17a Pukekura Place Taradale Napier,,,,," $4,510.00 ",replace non compliant wood fire with masport hestia
1297,Hawks Bay,Napier,18-Apr-17,171159,18 Leeds Place  ,18 Leeds Place,,,,," $3,358.00 ",new installation of metro r1 freestanding woodburner
1301,Hawks Bay,Napier,19-Apr-17,171175,6 Maltby Street Meeanee Napier  ,6 Maltby Street Meeanee Napier,,,,," $4,500.00 ",replace existing woodburner with a masport f3000. a new
1303,Hawks Bay,Napier,19-Apr-17,171162,135 Ballantyne Road  ,135 Ballantyne Road,,,,," $3,000.00 ",install firenzo viking woodburner
1319,Hawks Bay,Napier,20-Apr-17,171170,30 Osier Road  ,30 Osier Road,,,,," $2,300.00 ",replace existing with kompact deco woodburner
1322,Hawks Bay,Napier,21-Apr-17,171201,155 Tait Drive Greenmeadows Napier  ,155 Tait Drive Greenmeadows Napier,,,,," $4,500.00 ",to replace non compliant wood fire with a compliant kent
1324,Hawks Bay,Napier,21-Apr-17,171187,18E Milton Road Bluff Hill Napier  ,18E Milton Road Bluff Hill Napier,,,,," $3,901.00 ",to install a compliant masport i2000 insert wood fire into
1325,Hawks Bay,Napier,21-Apr-17,171199,7 Clare Place  ,7 Clare Place,,,,," $3,000.00 ",replace existing with jayline ca freestanding woodburner
1328,Hawks Bay,Napier,24-Apr-17,171215,151 Auckland Road Greenmeadows Napier  ,151 Auckland Road Greenmeadows Napier,,,,," $4,500.00 ",replace existing freestanding woodburner with a masport
1330,Hawks Bay,Napier,24-Apr-17,171220,140 Poraiti Road  ,140 Poraiti Road,,,,," $4,500.00 ",replace existing with masport i2000 woodburner
1332,Hawks Bay,Napier,24-Apr-17,171216,19 Atherfold Crescent  ,19 Atherfold Crescent,,,,," $4,093.00 ",install masport r1500p freestanding wood fire
1338,Hawks Bay,Napier,26-Apr-17,171214,8 Ngarimu Crescent  ,8 Ngarimu Crescent,,,,," $4,672.00 ",replace existing with masport hestia freestanding wood fire
1339,Hawks Bay,Napier,26-Apr-17,171232,60 Menin Road  ,60 Menin Road,,,,," $4,500.00 ",replace existing with kent rata insert woodburner
1343,Hawks Bay,Napier,26-Apr-17,171229,80 Napier Terrace  ,80 Napier Terrace,,,,," $4,000.00 ",replace existing with masport i2000 woodburner
1351,Hawks Bay,Napier,02-May-17,171228,15 Roslyn Road Bluff Hill Napier  4110  ,15 Roslyn Road Bluff Hill Napier  4110,,,,," $5,000.00 ",to install new wood fire in lounge
1353,Hawks Bay,Napier,02-May-17,171237,64 Morris Spence Avenue Onekawa Napier  4110  ,64 Morris Spence Avenue Onekawa Napier  4110,,,,," $4,173.00 ",to replace non compliant wood fire with compliant masport r1...
1354,Hawks Bay,Napier,02-May-17,171226,95 Rogers Road Bayview Napier  4112  ,95 Rogers Road Bayview Napier  4112,,,,," $3,811.00 ",to replace wood fire in lounge with a compliant masport i200...
1371,Hawks Bay,Napier,09-May-17,171225,30 Exeter Crescent Pirimai Napier  4112  ,30 Exeter Crescent Pirimai Napier  4112,,,,," $5,150.00 ",replace existing with firenzo kompact deco insert woodburner
1373,Hawks Bay,Napier,09-May-17,171262,33 Chester Street Taradale Napier  4112  ,33 Chester Street Taradale Napier  4112,,,,," $4,285.00 ",replace existing with kent logfire insert woodburner.
1374,Hawks Bay,Napier,09-May-17,171248,52 Vigor Brown Street Napier South Napier  4110  ,52 Vigor Brown Street Napier South Napier  4110,,,,," $4,200.00 ",replace existing with a bannockburn 1200 insert woodburner
1385,Hawks Bay,Napier,11-May-17,171269,7 Te Awa Avenue Te Awa Napier  4110  ,7 Te Awa Avenue Te Awa Napier  4110,,,,," $4,082.00 ",replace existing with bannockburn i2000 inbuilt woodburner
1398,Hawks Bay,Napier,16-May-17,171274,8 Henley Crescent Pirimai Napier 4112  ,8 Henley Crescent Pirimai Napier 4112,,,,," $3,306.00 ",replace existing with masport r1500 freestanding woodburner
1405,Hawks Bay,Napier,17-May-17,171266,38 Guys Hill Road Hospital Hill Napier  4110  ,38 Guys Hill Road Hospital Hill Napier  4110,,,,," $4,000.00 ",replace existing with metro smart insert woodburner
1406,Hawks Bay,Napier,17-May-17,171272,36 Longview Road Poraiti Napier  4182  ,36 Longview Road Poraiti Napier  4182,,,,," $2,289.00 ",replace existing with firenzo kompact serenity woodburner
1414,Hawks Bay,Napier,19-May-17,171277,27 Williams Street Marewa Napier  4110  ,27 Williams Street Marewa Napier  4110,,,,," $3,550.00 ",install metro eco tiny ped freestanding woodburner
1415,Hawks Bay,Napier,19-May-17,171316,37 Battery Road Ahuriri Napier  4110  ,37 Battery Road Ahuriri Napier  4110,,,,," $3,000.00 ",install new firenzo contessa freestanding woodburner
1444,Hawks Bay,Napier,25-May-17,171338,8A West Place Greenmeadows Napier  4112  ,8A West Place Greenmeadows Napier  4112,,,,," $4,181.00 ",replace existing with masport i2000 insert woodburner
1445,Hawks Bay,Napier,25-May-17,171280,66 Freyberg Ave Tamatea Napier  4112  ,66 Freyberg Ave Tamatea Napier  4112,,,,," $3,554.00 ",replace existing with masport r1500p freestanding woodburner
1459,Hawks Bay,Napier,29-May-17,171198,1 Chatham Street Ahuriri Napier  4110  ,1 Chatham Street Ahuriri Napier  4110,,,,," $5,000.00 ",install new kent rata insert woodburner
1467,Hawks Bay,Napier,30-May-17,171286,10 Ross Place Greenmeadows Napier  4112  ,10 Ross Place Greenmeadows Napier  4112,,,,," $6,784.00 ",replace existing with masport le4000 z/c insert woodburner
1469,Hawks Bay,Napier,30-May-17,171279,138 York Avenue Greenmeadows Napier  4112  ,138 York Avenue Greenmeadows Napier  4112,,,,," $5,950.00 ",replace existing with firenzo contessa ag woodburner with we...
1471,Hawks Bay,Napier,30-May-17,171288,31 Bristol Street Tamatea Napier  4112  ,31 Bristol Street Tamatea Napier  4112,,,,," $4,500.00 ",to install firenzo bronte freestanding woodburner
1473,Hawks Bay,Napier,30-May-17,171281,14 Osier Road Greenmeadows Napier  4112  ,14 Osier Road Greenmeadows Napier  4112,,,,," $1,000.00 ",install metro wee rad freestanding wood burner
1474,Hawks Bay,Napier,01-Jun-17,171295,35 Battery Road Ahuriri Napier  4110  ,35 Battery Road Ahuriri Napier  4110,,,,," $4,024.00 ",install masport r1500p woodburner
1476,Hawks Bay,Napier,02-Jun-17,171315,12 Harvey Road Bluff Hill Napier  4110  ,12 Harvey Road Bluff Hill Napier  4110,,,,," $4,227.00 ",replace existing with masport r5000p freestanding woodburner
1478,Hawks Bay,Napier,02-Jun-17,171305,120 Riverbend Road Maraenui Napier  4110  ,120 Riverbend Road Maraenui Napier  4110,,,,," $3,500.00 ",replace existing with jayline fr300 freestanding woodburner
1483,Hawks Bay,Napier,06-Jun-17,171314,5 Thistle Street Napier South Napier  4110  ,5 Thistle Street Napier South Napier  4110,,,,," $4,953.00 ",to replace non compliant wood fire with a compliant masport ...
1484,Hawks Bay,Napier,06-Jun-17,171307,5 Foster Terrace Onekawa Napier  4110  ,5 Foster Terrace Onekawa Napier  4110,,,,," $4,200.00 ",replace existing with kent signature freestanding woodburner
1490,Hawks Bay,Napier,07-Jun-17,171311,9 Mason Avenue Maraenui Napier  4110  ,9 Mason Avenue Maraenui Napier  4110,,,,," $4,000.00 ",replace existing with jayline is550 ib insert woodburner
1491,Hawks Bay,Napier,07-Jun-17,171309,82 York Avenue Tamatea Napier  4112  ,82 York Avenue Tamatea Napier  4112,,,,," $4,000.00 ",replace existing with metro wee rad freestanding woodburner
1494,Hawks Bay,Napier,08-Jun-17,171328,7 Selwyn Road Hospital Hill Napier  4110  ,7 Selwyn Road Hospital Hill Napier  4110,,,,," $4,500.00 ",install woodsman flare legs freestanding woodburner
1503,Hawks Bay,Napier,09-Jun-17,171324,9 Chaucer Road South Napier 4110  ,9 Chaucer Road South Napier 4110,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1504,Hawks Bay,Napier,09-Jun-17,171275,256 Te Awa Avenue Te Awa Napier  4110  ,256 Te Awa Avenue Te Awa Napier  4110,,,,," $4,438.00 ",replace existing with kent rata insert woodburner
1505,Hawks Bay,Napier,09-Jun-17,171333,26 Darwin Crescent Maraenui Napier  4110  ,26 Darwin Crescent Maraenui Napier  4110,,,,," $4,000.00 ",install metro wee rad freestanding woodburner
1506,Hawks Bay,Napier,09-Jun-17,171313,13 Harold Holt Avenue Onekawa Napier  4110  ,13 Harold Holt Avenue Onekawa Napier  4110,,,,," $4,000.00 ",replace existing with milan harmony insert woodburner
1507,Hawks Bay,Napier,09-Jun-17,171322,21 Tait Drive Greenmeadows Napier  4112  ,21 Tait Drive Greenmeadows Napier  4112,,,,," $2,000.00 ",replace existing with masport r1500 freestanding woodburner
1513,Hawks Bay,Napier,12-Jun-17,171347,9 Honan Street Meeanee Napier  4112  ,9 Honan Street Meeanee Napier  4112,,,,," $6,152.00 ",replace existing with masport hestia freestanding woodburner
1517,Hawks Bay,Napier,13-Jun-17,171344,7 Paradise Road Napier South Napier  4110  ,7 Paradise Road Napier South Napier  4110,,,,," $5,793.00 ",replace existing with masport akaroa freestanding woodburner
1518,Hawks Bay,Napier,13-Jun-17,171312,64 Franklin Road Bay View Napier  4104  ,64 Franklin Road Bay View Napier  4104,,,,," $5,000.00 ",install metro xtreme rad freestanding woodburner
1519,Hawks Bay,Napier,13-Jun-17,171329,5 Nash Street Marewa Napier  4110  ,5 Nash Street Marewa Napier  4110,,,,," $4,500.00 ",replace existing with metro wee rad freestanding woodburner
1522,Hawks Bay,Napier,13-Jun-17,171342,22 Trevelyan Street Onekawa Napier  4110  ,22 Trevelyan Street Onekawa Napier  4110,,,,," $3,000.00 ",install kent aspiring freestanding woodburner
1524,Hawks Bay,Napier,14-Jun-17,171341,22 Thompson Road Bluff Hill Napier  4112  ,22 Thompson Road Bluff Hill Napier  4112,,,,," $4,885.00 ",replace existing with masport le4000 insert woodburner.
1525,Hawks Bay,Napier,14-Jun-17,171340,16 Higgins Street Marewa Napier  4110  ,16 Higgins Street Marewa Napier  4110,,,,," $4,709.00 ",replace existing with masport f3000 freestanding woodburner
1527,Hawks Bay,Napier,14-Jun-17,171356,2 Holyrood Street Taradale Napier  4112  ,2 Holyrood Street Taradale Napier  4112,,,,," $4,500.00 ",replace existing with masport i2000 insert woodburner
1530,Hawks Bay,Napier,14-Jun-17,171352,56 Fryer Road Poraiti Napier  4182  ,56 Fryer Road Poraiti Napier  4182,,,,," $4,250.00 ",install new metro xtreme ped freestanding woodburner
1531,Hawks Bay,Napier,14-Jun-17,171362,43A Shakespeare Road Bluff Hill Napier  4110  ,43A Shakespeare Road Bluff Hill Napier  4110,,,,," $4,000.00 ",install new metro tiny rad woody freestanding woodburner
1532,Hawks Bay,Napier,14-Jun-17,171354,5 Antrim Place Tamatea Napier  4112  ,5 Antrim Place Tamatea Napier  4112,,,,," $3,795.00 ",replace existing with masport i2000 insert woodburner
1536,Hawks Bay,Napier,15-Jun-17,171365,155 Avenue Road Greenmeadows Napier  4112  ,155 Avenue Road Greenmeadows Napier  4112,,,,," $6,302.00 ",to install a masport akaroa freestanding woodburner
1537,Hawks Bay,Napier,15-Jun-17,171364,39 Flanders Avenue Onekawa Napier  4110  ,39 Flanders Avenue Onekawa Napier  4110,,,,," $4,500.00 ",replace existing with masport i2000 insert woodburner
1547,Hawks Bay,Napier,16-Jun-17,171382,7 Lincoln Road Bluff Hill Napier  4110  ,7 Lincoln Road Bluff Hill Napier  4110,,,,," $4,500.00 ",install masport akaroa freestanding woodburner
1549,Hawks Bay,Napier,16-Jun-17,171391,54 Robinson Crescent Tamatea Napier  4112  ,54 Robinson Crescent Tamatea Napier  4112,,,,," $4,133.00 ",replace existing with masport i2000 insert woodburner
1550,Hawks Bay,Napier,16-Jun-17,171368,31 Fife Crescent Tamatea Napier  4112  ,31 Fife Crescent Tamatea Napier  4112,,,,," $4,000.00 ",install metro eco smart insert woodburner
1551,Hawks Bay,Napier,16-Jun-17,171393,17 Islington Place Tamatea Napier  4112  ,17 Islington Place Tamatea Napier  4112,,,,," $3,904.00 ",replace existing with masport hestia freestanding woodburner
1553,Hawks Bay,Napier,16-Jun-17,171370,39 Upham Crescent Taradale Napier  4112  ,39 Upham Crescent Taradale Napier  4112,,,,," $3,000.00 ",replace existing with kent benmore freestanding woodburner
1560,Hawks Bay,Napier,19-Jun-17,171390,9 Lichfield Crescent Tamatea Napier  4112  ,9 Lichfield Crescent Tamatea Napier  4112,,,,," $5,200.00 ",replace existing with firenzo bronte freestanding woodburner
1571,Hawks Bay,Napier,20-Jun-17,171397,1 Kotuku Place Taradale Napier  4112  ,1 Kotuku Place Taradale Napier  4112,,,,," $4,000.00 ",replace existing with metro wee rad freestanding woodburner
1576,Hawks Bay,Napier,21-Jun-17,171418,252 Te Awa Avenue Te Awa Napier  4110  ,252 Te Awa Avenue Te Awa Napier  4110,,,,," $5,000.00 ",replace existing with metro tiny ped freestanding woodburner
1577,Hawks Bay,Napier,21-Jun-17,171410,36 McNaugton Place Pirimai Napier  4110  ,36 McNaugton Place Pirimai Napier  4110,,,,," $4,913.00 ",install masport hestia freestanding wood fire - compliant he...
1578,Hawks Bay,Napier,21-Jun-17,171372,29 Russell Road Marewa Napier  4110  ,29 Russell Road Marewa Napier  4110,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1579,Hawks Bay,Napier,21-Jun-17,171367,21 Holyrood Street Taradale Napier  4112  ,21 Holyrood Street Taradale Napier  4112,,,,," $4,131.00 ",replace existing with masport i2000 insert woodburner
1582,Hawks Bay,Napier,21-Jun-17,171411,9A Laurent Place Greenmeadows Napier  4112  ,9A Laurent Place Greenmeadows Napier  4112,,,,," $4,000.00 ",replace existing with pyroclassic iv freestanding woodburner
1583,Hawks Bay,Napier,21-Jun-17,171408,70 Russell Road Marewa Napier  4110  ,70 Russell Road Marewa Napier  4110,,,,," $4,000.00 ",replace existing with metro smart insert woodburner
1587,Hawks Bay,Napier,22-Jun-17,171432,34 Coventry Avenue Tamatea Napier  4112  ,34 Coventry Avenue Tamatea Napier  4112,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1594,Hawks Bay,Napier,23-Jun-17,171423,30B Donegal Crescent Tamatea Napier 4112  ,30B Donegal Crescent Tamatea Napier 4112,,,,," $3,200.00 ",install jayline ss200l freestanding woodburner
1596,Hawks Bay,Napier,23-Jun-17,171425,12 Essex Street Tamatea Napier  4112  ,12 Essex Street Tamatea Napier  4112,,,,," $1,500.00 ",replace existing with jayline ss400 freestanding woodburner
1601,Hawks Bay,Napier,26-Jun-17,171448,19 Eton Street Taradale Napier  4112  ,19 Eton Street Taradale Napier  4112,,,,," $7,109.00 ",replace existing with masport r1500p freestanding woodburner...
1603,Hawks Bay,Napier,26-Jun-17,171444,81A Nelson Crescent Napier South Napier  4110  ,81A Nelson Crescent Napier South Napier  4110,,,,," $4,500.00 ",install masport wanaka freestanding woodburner
1604,Hawks Bay,Napier,26-Jun-17,171445,4 Cooke Place Taradale Napier  4112  ,4 Cooke Place Taradale Napier  4112,,,,," $4,500.00 ",replace existing with masport wanaka freestanding woodburner
1605,Hawks Bay,Napier,26-Jun-17,171446,46 Fleming Crescent Maraenui Napier  4110  ,46 Fleming Crescent Maraenui Napier  4110,,,,," $4,500.00 ",replace existing with masport i2000 insert woodburner
1612,Hawks Bay,Napier,28-Jun-17,171434,2/8 Ashridge Road Napier South Napier  4110  ,2/8 Ashridge Road Napier South Napier  4110,,,,," $5,250.00 ",install new jayline ss200 freestanding woodburner
1613,Hawks Bay,Napier,28-Jun-17,171335,79 Austin Street Onekawa Napier  4110  ,79 Austin Street Onekawa Napier  4110,,,,," $5,000.00 ",install new lady kitchener 800 freestanding woodburner
1615,Hawks Bay,Napier,28-Jun-17,171438,8 Tyrone Place Tamatea Napier 4112  ,8 Tyrone Place Tamatea Napier 4112,,,,," $4,500.00 ",install new metro ambie one freestanding woodburner
1616,Hawks Bay,Napier,28-Jun-17,171439,12A Harvey Road Bluff Hill Napier  4110  ,12A Harvey Road Bluff Hill Napier  4110,,,,," $4,500.00 ",replace existing with masport i2000 insert woodburner
1621,Hawks Bay,Napier,28-Jun-17,171457,69 Coverdale Street Onekawa Napier  4110  ,69 Coverdale Street Onekawa Napier  4110,,,,," $4,000.00 ",replace existing with metro smart insert woodburner
1629,Hawks Bay,Napier,29-Jun-17,171466,15 York Avenue Tamatea Napier  4112  ,15 York Avenue Tamatea Napier  4112,,,,," $5,682.00 ",install masport heartland freestanding woodburner
1630,Hawks Bay,Napier,29-Jun-17,171431,6 Cottrell Crescent Onekawa Napier  4110  ,6 Cottrell Crescent Onekawa Napier  4110,,,,," $5,150.00 ",replace with metro eco smart insert woodburner
1631,Hawks Bay,Napier,29-Jun-17,171474,11A Cambridge Terrace Taradale Napier  4112  ,11A Cambridge Terrace Taradale Napier  4112,,,,," $4,500.00 ",replace existing with metro tiny ped freestanding woodburner
1633,Hawks Bay,Napier,29-Jun-17,171488,166 Nuffield Avenue Marewa Napier  4110  ,166 Nuffield Avenue Marewa Napier  4110,,,,," $4,500.00 ",replace existing with woodsman totara insert woodburner
1634,Hawks Bay,Napier,29-Jun-17,171440,12 Sheehan Street Bay View Napier  4104  ,12 Sheehan Street Bay View Napier  4104,,,,," $4,000.00 ",install new metro eco extreme rad freestanding woodburner
1635,Hawks Bay,Napier,29-Jun-17,171485,87A Coverdale Street Onekawa Napier  4110  ,87A Coverdale Street Onekawa Napier  4110,,,,," $4,000.00 ",install new jayline fr300 freestanding woodburner
1636,Hawks Bay,Napier,29-Jun-17,171465,11 Coverdale Street Napier  4110  ,11 Coverdale Street Napier  4110,,,,," $3,871.00 ",replace existing with masport i2000 insert woodburner
1646,Hawks Bay,Wairoa,23-Mar-17,170013,8 Kabul Street Wairoa Hawke's Bay 4108  ,8 Kabul Street Wairoa Hawke's Bay 4108,,,887037201,," $3,400.00 ",to replace existing wood fire with metro wee rad wood fire
1661,Hawks Bay,Wairoa,25-May-17,170040,51 Blakes Approach Mahia  ,51 Blakes Approach Mahia,,,LOT 47 DP 12744,," $5,000.00 ",install new wee rad wood fire and eco flue on new hearth
1662,Hawks Bay,Wairoa,30-May-17,170041,8 Sydney Street Wairoa  ,8 Sydney Street Wairoa,,,LOT 34 DP 3180,," $1,500.00 ",install jayline solid fuel heater
1663,Hawks Bay,Wairoa,06-Jun-17,170050,3 Tirohia Lane Wairoa  ,3 Tirohia Lane Wairoa,,,LOT 3 DP 14579,," $4,000.00 ",install metro solid fuel heater
1668,Hawks Bay,Wairoa,22-Jun-17,170054,2205 SH2 North Wairoa  ,2205 SH2 North Wairoa,,,LOT 3 DP 16290,," $2,000.00 ",install masport solid fuel heater
1669,Hawks Bay,Wairoa,26-Jun-17,170052,27 YMCA Road Mahia  ,27 YMCA Road Mahia,,,LOT 3 DP 347731,," $3,500.00 ",install wee-rad solid fuel heater
1673,Manawatu-Whanganui,Horowhenua,18-Jan-17,BC 2017-9,10 Marsden Street Levin  ,10 Marsden Street Levin,,,,," $4,000.00 ",fireplace - inbuilt installation of a new metro eco smart inbuilt wood fire
1674,Manawatu-Whanganui,Horowhenua,18-Jan-17,BC 2016-687,3 Cargill Street Levin  ,3 Cargill Street Levin,,,,," $1,700.00 ",fireplace freestanding installation of a freestanding scandia heat and cook woodburner
1677,Manawatu-Whanganui,Horowhenua,19-Jan-17,BC 2017-10,213 Cd Farm Road Levin Rural  ,213 Cd Farm Road Levin Rural,,,,," $4,000.00 ",fireplace - inbuilt installation of a new metro eco smart insert wood fire
