,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
544,Canterbury,Ashburton,31-Dec-20,BC0331/20,408 Simpsons Road,,Ashburton,408 Simpsons Road  Ashburton,  ,,,5000,install a f/s yunca wegj 2000 bay logfire
545,Canterbury,Ashburton,31-Dec-20,BC0360/20,75 Mcmurdo Street  Tinwald,,Ashburton,75 Mcmurdo Street  Tinwald  Ashburton,  ,,,5200,install a f/s masport waimakariri logfire
547,Canterbury,Ashburton,31-Dec-20,BC0344/20,681 Jamiesons Road,,Ashburton,681 Jamiesons Road  Ashburton,  ,,,5800,install a f/s masport r5000 rural logfire
548,Canterbury,Ashburton,31-Dec-20,BC0359/20,72 Beach Road,,Ashburton,72 Beach Road  Ashburton,  ,,,5800,install a f/s masport rakaia logfire
552,Canterbury,Ashburton,31-Dec-20,BC0363/20,43 Saunders Road,,Ashburton,43 Saunders Road  Ashburton,  ,,,6500,install a f/s revelli rosa pellet logfire
554,Canterbury,Ashburton,31-Dec-20,BC0358/20,95 Cameron Street,,Ashburton,95 Cameron Street  Ashburton,  ,,,6700,install a f/s masport rakaia logfire
555,Canterbury,Ashburton,31-Dec-20,BC0343/20,11 Hight Place Tinwald,,Ashburton,11 Hight Place Tinwald  Ashburton,  ,,,8500,install a f/s enviro olympian pellet logfire
616,Auckland,Auckland,7-Jan-20,ABCO10296761,28 Rothschild Terrace,Waiheke Island,Auckland,28 Rothschild Terrace Waiheke Island Auckland,1971,Lot 38 Dp 156422,,700000,"rbw - new single storey detached dwelling with 4 bedrooms, 3 bath/ensuite, deck, solid fuel heater, and retaining wall."
635,Auckland,Auckland,9-Jan-20,ABCO10300670,3 Baldwin Avenue,Mount Albert,Auckland,3 Baldwin Avenue Mount Albert Auckland,1025,Lot 13 Dp 17487,,5200,installation of solid wood burner
710,Auckland,Auckland,16-Jan-20,ABCO10301124,19 Takutai Street,Parnell,Auckland,19 Takutai Street Parnell Auckland,1052,Lot 1 Dp 73354,,5962,solid fuel - installation of a solid fuel heater to manufacturers specifications.
750,Auckland,Auckland,20-Jan-20,ABCO10300897,1/2 Carmont Street,Remuera,Auckland,1/2 Carmont Street Remuera Auckland,1050,"1/3 Sh Lot 1 Dp 91967, Flat 1 Dp 92229, Carport 1 Dp 92229",,3000,installation of replacement insert ethos ares (with flue shield) solid fuel heater into existing masonry chimney
867,Auckland,Auckland,3-Feb-20,ABCO10301066,19 Commercial Road,Grey Lynn,Auckland,19 Commercial Road Grey Lynn Auckland,1021,Lot 13 Deeds Reg Blue 26,,3500,installation of freestanding metro eco tiny ped solid fuel heater and flue
954,Auckland,Auckland,10-Feb-20,ABCO10302452,46 Bolton Street,Blockhouse Bay,Auckland,46 Bolton Street Blockhouse Bay Auckland,600,Lot 1 Dp 84807,,1754,solid fuel - installation of a solid fuel heater to manufacturers specifications.
976,Auckland,Auckland,11-Feb-20,ABCO10302574,152 Shoal Bay Road,Great Barrier Island,Auckland,152 Shoal Bay Road Great Barrier Island Auckland,991,Lot 4 Dp 57462,,4000,installation of solid fuel heater- wagner sparky ca
1051,Auckland,Auckland,14-Feb-20,ABCO10300016,36 Croydon Road,Mount Eden,Auckland,36 Croydon Road Mount Eden Auckland,1024,Lot 3 Dp 16901,,493700,"rbw - alterations and additions to existing house. add 2 bedrooms, 1 ensuite, connect existing garage to house with new entry and stair, add new wood burner fire, add stormwater detention tank."
1201,Auckland,Auckland,25-Feb-20,ABCO10303320,34 Walmer Road,Point Chevalier,Auckland,34 Walmer Road Point Chevalier Auckland,1022,Lot 3 Dp 19131,,4800,installation of a solid fuel wood burner
1321,Auckland,Auckland,3-Mar-20,ABCO10303850,9 Omiha Road,Waiheke Island,Auckland,9 Omiha Road Waiheke Island Auckland,  ,Lot 442 Dp 19224,,3500,install new freestanding metro tiny rad wood burner to replace existing.
1402,Auckland,Auckland,6-Mar-20,ABCO10304271,45 Kennedy Road,Waiheke Island,Auckland,45 Kennedy Road Waiheke Island Auckland,  ,Lot 655 Dp 16353,,3000,install new freestanding wood burner to replace existing.
1422,Auckland,Auckland,9-Mar-20,ABCO10304264,76 Whitehaven Road,Glendowie,Auckland,76 Whitehaven Road Glendowie Auckland,  ,Lot 63 Dp 20890,b,6000,install new insert wood fire and flue into existing fireplace.
1598,Auckland,Auckland,23-Mar-20,ABCO10304925,20 Glenfern Road,Great Barrier Island,Auckland,20 Glenfern Road Great Barrier Island Auckland,  ,"Lot 2 Dp 13669, Lot 1 Dp 58372",,3000,house 2 - install freestanding woodfire and flue to replace existing.
1625,Auckland,Auckland,27-Mar-20,ABCO10304534,17 Rukutai Street,Orakei,Auckland,17 Rukutai Street Orakei Auckland,  ,"Area 1 Dp 495481, Area 2 Dp 495481, Area 3 Dp 495481",,1000,replacement of solid fuel heating system - log burner.
1730,Auckland,Auckland,7-Apr-20,ABCO10305616,22 Matapana Road,Waiheke Island,Auckland,22 Matapana Road Waiheke Island Auckland,1081,Lot 315 Dp 16816,,3500,solid fuel - install freestanding replacement woodfire and flue.
1841,Auckland,Auckland,20-Apr-20,ABCO10301346,32 Church Bay Road,Waiheke Island,Auckland,32 Church Bay Road Waiheke Island Auckland,1971,Lot 3 Dp 208770,,2100000,"rbw - new 2 storey, 3 bedroom, 1 kitchen, 2.5 bathroom, pool, wood fire, onsite wastewater & stormwater systems. 2nd minor dwelling has 2 art studios & 1 bed, 1 bathroom unit above with wood fire.- swimming pool deleted"
1887,Auckland,Auckland,23-Apr-20,ABCO10305988,28 Sherwood Avenue,Grey Lynn,Auckland,28 Sherwood Avenue Grey Lynn Auckland,1021,Lot 72 Dp 4557,,2004,solid fuel- installation of a solid fuel heater to manufacturers specifications
1959,Auckland,Auckland,30-Apr-20,ABCO10305062,28 James Tyler Crescent,Mount Roskill,Auckland,28 James Tyler Crescent Mount Roskill Auckland,1042,Lot 278 Dp 44069,,4800,install new freestanding solid wood burner.
1960,Auckland,Auckland,30-Apr-20,ABCO10304966,1 George Street,Waiheke Island,Auckland,1 George Street Waiheke Island Auckland,1081,Lot 575 Dp 16353,,5000,install new freestanding wood burner.
1967,Auckland,Auckland,30-Apr-20,ABCO10306284,84 Cape Barrier Road,Great Barrier Island,Auckland,84 Cape Barrier Road Great Barrier Island Auckland,991,Lot 1 Dp 69628,,20000,solid fuel heater
1986,Auckland,Auckland,1-May-20,ABCO10305156,51A Luke Street,Otahuhu,Auckland,51A Luke Street Otahuhu Auckland,1062,Lot 2 Dp 51479,,4400,install new insert wood fire and flue to replace existing.
2024,Auckland,Auckland,6-May-20,ABCO10306568,7 Te Wiata Place,Avondale,Auckland,7 Te Wiata Place Avondale Auckland,1026,Lot 4 Dp 53716,,2024,dsfh. installation of a solid fuel heater to manufacturers specifications
2025,Auckland,Auckland,6-May-20,ABCO10306487,16A St Michaels Avenue,Point Chevalier,Auckland,16A St Michaels Avenue Point Chevalier Auckland,1022,"Flat 2 Dp 118619, 1/2 Sh Lot 75 Dp 7475",,4000,solid fuel- install freestanding woodfire and flue
2044,Auckland,Auckland,7-May-20,ABCO10306652,24 Miami Avenue,Waiheke Island,Auckland,24 Miami Avenue Waiheke Island Auckland,1081,Lot 140 Dp 16354,,4365,sfh - installation of a solid fuel heater to manufacturers specifications
2067,Auckland,Auckland,8-May-20,ABCO10306729,91 Portland Road,Remuera,Auckland,91 Portland Road Remuera Auckland,1050,Unit D Up 316903,,5000,rbw- solid fuel- installation freestanding woodfire and flue
2112,Auckland,Auckland,12-May-20,ABCO10307142,22A Lancing Road,Sandringham,Auckland,22A Lancing Road Sandringham Auckland,1025,"Flat 1 Dp 161885, Garage 1 Dp 161885, 1/3 Sh Lot 7 Dp 28091",,3800,installation of solid wood burner
2143,Auckland,Auckland,14-May-20,ABCO10307062,52 Gribblehirst Road,Sandringham,Auckland,52 Gribblehirst Road Sandringham Auckland,1025,Lot 25 Dp 3870,,4500,rbw- solid fuel- install insert woodfire and flue into existing fireplace
2189,Auckland,Auckland,18-May-20,ABCO10307363,329 Blind Bay Road,Great Barrier Island,Auckland,329 Blind Bay Road Great Barrier Island Auckland,991,Lot 7 Dp 159191,,1749,solid fuel heater
2190,Auckland,Auckland,18-May-20,ABCO10307416,1/31 Pukeora Avenue,Remuera,Auckland,1/31 Pukeora Avenue Remuera Auckland,1050,"Flat 1 Dp 143179, 1/2 Sh Lot 11 Dp 17421",,4500,solid fuel - install insert woodfire and flue into existing fireplace.
2192,Auckland,Auckland,18-May-20,ABCO10307301,151 Riddell Road,Glendowie,Auckland,151 Riddell Road Glendowie Auckland,1071,Lot 1 Dp 48859,,5000,rbw -solid fuel- install freestanding woodfire and flue
2230,Auckland,Auckland,21-May-20,ABCO10307360,99 Cowes Bay Road,Waiheke Island,Auckland,99 Cowes Bay Road Waiheke Island Auckland,1971,Lot 9 Dp 79251,,2760,solid fuel - installation of a solid fuel heater to manufacturers specifications
2318,Auckland,Auckland,27-May-20,ABCO10306282,415 Schooner Bay Road,Great Barrier Island,Auckland,415 Schooner Bay Road Great Barrier Island Auckland,991,Lot 2 Dp 208484,,350000,"new dwelling, decks & wood fire"
2333,Auckland,Auckland,28-May-20,ABCO10307596,12 Kotare Avenue,Westmere,Auckland,12 Kotare Avenue Westmere Auckland,1022,Lot 26 Dp 10231,,5000,solid fuel - install freestanding woodfire and flue
2334,Auckland,Auckland,28-May-20,ABCO10307595,5I Puka Street,Onehunga,Auckland,5I Puka Street Onehunga Auckland,1061,"Unit I Dp 386900, 1/4 Sh Au 9 Dp 386900",,5500,solid fuel - install freestanding woodfire and flue
2342,Auckland,Auckland,29-May-20,ABCO10307978,149 Waipuna Road East,Panmure,Auckland,149 Waipuna Road East Panmure Auckland,1060,Lot 23 Dp 39314,,3800,solid fuel - to supply and install a new masport woodfire r3000 pedestal with flue. to install a new aquaseal roof flashing.
2343,Auckland,Auckland,29-May-20,ABCO10307611,76 West End Road,Westmere,Auckland,76 West End Road Westmere Auckland,1022,"Pt Lot 78 Dp 18973, Pt Lot 33 Dp 19195",,4986,sldfuel - installation of solid wood burner
2344,Auckland,Auckland,29-May-20,ABCO10307642,26B Methuen Road,Avondale,Auckland,26B Methuen Road Avondale Auckland,600,Lot 2 Dp 396173,,4992,installation of solid wood burner
2370,Auckland,Auckland,2-Jun-20,ABCO10307836,524 Medland Road,Great Barrier Island,Auckland,524 Medland Road Great Barrier Island Auckland,991,Lot 1 Dp 484391,,4500,solid fuel- install freestanding woodfire and flue
2371,Auckland,Auckland,2-Jun-20,ABCO10307778,17 Coromandel Road,Waiheke Island,Auckland,17 Coromandel Road Waiheke Island Auckland,1081,Lot 1 Dp 466082,,4500,solid fuel - install freestanding woodfire and flue
2391,Auckland,Auckland,3-Jun-20,ABCO10307977,101 The Strand,Waiheke Island,Auckland,101 The Strand Waiheke Island Auckland,1081,Lot 2 Dp 52663,,4500,solid fuel- install freestanding woodfire and flue
2392,Auckland,Auckland,3-Jun-20,ABCO10307779,279 Panama Road,Mount Wellington,Auckland,279 Panama Road Mount Wellington Auckland,1062,Lot 1 Dp 200181,,4704,solid fuel - installation of a solid fuel heater to manufacturers specifications
2393,Auckland,Auckland,3-Jun-20,ABCO10307835,77 Victoria Road South,Waiheke Island,Auckland,77 Victoria Road South Waiheke Island Auckland,1081,Lot 64 Dp 16850,,5000,solid fuel - install freestanding woodfire and flue
2408,Auckland,Auckland,4-Jun-20,ABCO10307829,2/161B Sandhills Road,Great Barrier Island,Auckland,2/161B Sandhills Road Great Barrier Island Auckland,991,"1/2 Sh Lot 9 Dp 69899, Flat 2 Dp 186399",,4000,dbc - solid fuel - install freestanding woodfire and flue
2409,Auckland,Auckland,4-Jun-20,ABCO10307989,20 Wairua Road,Waiheke Island,Auckland,20 Wairua Road Waiheke Island Auckland,1081,Lot 60 Dp 19224,,4000,sldfuel - install freestanding woodfire and flue
2417,Auckland,Auckland,4-Jun-20,ABCO10302705,2/85 Oranga Avenue,Onehunga,Auckland,2/85 Oranga Avenue Onehunga Auckland,1061,"Flat 2 Dp 149594, 1/2 Sh Pt Lot 9 Dp 9482",,450000,"rbw -  new two level dwelling with three bedrooms, 2.5 bath/ensuite, solid fuel heater, and a double internal garage."
2438,Auckland,Auckland,7-Jun-20,ABCO10308139,32 Tui Street,Waiheke Island,Auckland,32 Tui Street Waiheke Island Auckland,1081,Lot 431 Dp 33180,,1500,dbc- rbw- solid fuel- install fire place (log burner)
2448,Auckland,Auckland,8-Jun-20,ABCO10308087,7 Ostend Road,Waiheke Island,Auckland,7 Ostend Road Waiheke Island Auckland,  ,Lot 92 Dp 11378,,4500,sldfuel - install insert woodfire and flue
2449,Auckland,Auckland,8-Jun-20,ABCO10308086,130 Taylors Road,Mount Albert,Auckland,130 Taylors Road Mount Albert Auckland,  ,Lot 1 Dp 53895,,4870,sldfuel - installation of solid wood burner
2497,Auckland,Auckland,10-Jun-20,ABCO10308273,13 Alexis Avenue,Mount Albert,Auckland,13 Alexis Avenue Mount Albert Auckland,  ,Lot 1 Dp 363566,,5000,solid fuel - install insert woodfire and flue.
2531,Auckland,Auckland,12-Jun-20,ABCO10308033,28 Waiheke Road,Waiheke Island,Auckland,28 Waiheke Road Waiheke Island Auckland,  ,Lot 4 Dp 32649,,5000,solid fuel - so install a new kent murchison freestanding wood fire and flue with steel floor hearth. to install a decktite rubber boot flashing.
2551,Auckland,Auckland,15-Jun-20,ABCO10308450,138 Meadowbank Road,Meadowbank,Auckland,138 Meadowbank Road Meadowbank Auckland,1072,Lot 35 Dp 47044,,5000,solid fuel - install insert woodfire and flue into existing fireplace
2587,Auckland,Auckland,16-Jun-20,ABCO10308524,65B Junction Road,Waiheke Island,Auckland,65B Junction Road Waiheke Island Auckland,1081,Lot 1 Dp 68296,,4000,solid fuel - installation of solid fuel wood burner.
2589,Auckland,Auckland,16-Jun-20,ABCO10308583,18 Terry Street,Blockhouse Bay,Auckland,18 Terry Street Blockhouse Bay Auckland,600,Lot 2 Dp 201800,,5500,solid fuel- installation of an insert solid wood fire jayline is550
2590,Auckland,Auckland,16-Jun-20,ABCO10308464,45A Junction Road,Waiheke Island,Auckland,45A Junction Road Waiheke Island Auckland,1081,Lot 1 Dp 94879,,6000,solid fuel - install freestanding woodfire and flue
2603,Auckland,Auckland,17-Jun-20,ABCO10308563,44 Arabi Street,Sandringham,Auckland,44 Arabi Street Sandringham Auckland,1041,"Pt Lot 80 Dp 4767, Pt Lot 81 Dp 4767",,3800,solid fuel - to supply and install a new inbuilt kent logfire and flue to exterior and cap off.
2605,Auckland,Auckland,17-Jun-20,ABCO10308586,471 Sea View Road,Waiheke Island,Auckland,471 Sea View Road Waiheke Island Auckland,1081,Lot 61 Dp 13801,,4500,solid fuel- install freestanding woodfire and flue
2638,Auckland,Auckland,18-Jun-20,ABCO10308759,43 Colchester Avenue,Glendowie,Auckland,43 Colchester Avenue Glendowie Auckland,1071,Lot 252 Dp 20612,,3800,solid fuel - to supply and install a new kent insert logfire and flue
2639,Auckland,Auckland,18-Jun-20,ABCO10309017,311C West Tamaki Road,Wai O Taiki Bay,Auckland,311C West Tamaki Road Wai O Taiki Bay Auckland,1072,Lot 3 Dp 530115,,5000,solid fuel - install freestanding woodfire and flue
2640,Auckland,Auckland,18-Jun-20,ABCO10309019,38 Glendowie Road,Glendowie,Auckland,38 Glendowie Road Glendowie Auckland,1071,Lot 1 Dp 65230,,7500,solid fuel - installation of new woodfire
2685,Auckland,Auckland,22-Jun-20,ABCO10309130,54 Rosamund Avenue,New Windsor,Auckland,54 Rosamund Avenue New Windsor Auckland,600,Lot 55 Dp 50664,,4338,installation of a solid fuel heater to manufacturers specifications
2726,Auckland,Auckland,24-Jun-20,ABCO10309003,57 Kaitoke Lane,Great Barrier Island,Auckland,57 Kaitoke Lane Great Barrier Island Auckland,991,Lot 1 Dp 389608,,3500,install freestanding woodfire and through wall flue.
2728,Auckland,Auckland,24-Jun-20,ABCO10309078,1 Tohunga Crescent,Parnell,Auckland,1 Tohunga Crescent Parnell Auckland,1052,Lot 1 Dp 517516,,4989,installation of solid wood burner
2737,Auckland,Auckland,24-Jun-20,ABCO10308696,28 Morvern Road,Epsom,Auckland,28 Morvern Road Epsom Auckland,1023,Lot 80 Dp 16969,,150000,"rbw - addition to existing sunroom, alterations to existing kitchen-family room and installation of new woodburner."
2749,Auckland,Auckland,25-Jun-20,ABCO10309111,61 Whakarite Road,Waiheke Island,Auckland,61 Whakarite Road Waiheke Island Auckland,1081,Lot 431 Dp 14189,,3000,"solid fuel - installment of wood burner, free standing."
2751,Auckland,Auckland,25-Jun-20,ABCO10309175,24 Georgina Street,Freemans Bay,Auckland,24 Georgina Street Freemans Bay Auckland,1011,Lot 1 Dp 76390,,5500,installation of an free standing solid fuel heater bosca fire point 360
2768,Auckland,Auckland,26-Jun-20,ABCO10309174,21 Miro Road,Waiheke Island,Auckland,21 Miro Road Waiheke Island Auckland,1081,Lot 11 Dp 16816,,4999,installation of solid wood burner
2786,Auckland,Auckland,29-Jun-20,ABCO10309226,20 Parau Street,Three Kings,Auckland,20 Parau Street Three Kings Auckland,1041,Lot 1 Dp 56215,,3000,solid fuel - installation of insert wood burner into existing masonry chimney
2788,Auckland,Auckland,29-Jun-20,ABCO10309224,7 Brown Road,Waiheke Island,Auckland,7 Brown Road Waiheke Island Auckland,1081,"7/20 Sh Lot 4 Dp 142106, Lot 2 Dp 472295",,5300,solid fuel - install freestanding woodfire and flue
2824,Auckland,Auckland,1-Jul-20,ABCO10309973,37 Saltaire Street,Avondale,Auckland,37 Saltaire Street Avondale Auckland,1026,Lot 1 Dp 202845,,4994,install new freestanding solid wood burner.
2864,Auckland,Auckland,3-Jul-20,ABCO10309560,13 New Bond Street,Kingsland,Auckland,13 New Bond Street Kingsland Auckland,1021,Lot 24 Dp 2916,,3000,solid fuel -  installation of solid fuel wood burner
2884,Auckland,Auckland,6-Jul-20,ABCO10309674,127A Campbell Road,One Tree Hill,Auckland,127A Campbell Road One Tree Hill Auckland,1061,"Flat 1 Dp 131418, 1/2 Sh Lot 1 Dp 17430",,2500,install new freestanding wood solid fuel heater.
2885,Auckland,Auckland,6-Jul-20,ABCO10309631,51 Windmill Road,Mount Eden,Auckland,51 Windmill Road Mount Eden Auckland,1023,Lot 41 Deeds Reg S22,,3500,solid fuel - to supply and install a new masport r3000 ashpan freestanding wood fire and flue.
2886,Auckland,Auckland,6-Jul-20,ABCO10309739,31 Buchanan Street,Kingsland,Auckland,31 Buchanan Street Kingsland Auckland,1021,"Pt Lot 23 Sec 8 Dp 383, Lot 24 Sec 8 Dp 383",,4200,solid fuel -  installation of new free standing woodfire
2966,Auckland,Auckland,13-Jul-20,ABCO10309974,20 Bongard Road,Mission Bay,Auckland,20 Bongard Road Mission Bay Auckland,1071,Lot 1 Dp 115575,,4999,install new insert solid wood burner.
2967,Auckland,Auckland,13-Jul-20,ABCO10310067,2/31 Farrar Street,Grey Lynn,Auckland,2/31 Farrar Street Grey Lynn Auckland,1021,"1/4 Sh Lot 1 Dp 138496, Flat 2 Dp 138496",,5000,sldfuel - install freestanding woodfire and flue.
2968,Auckland,Auckland,13-Jul-20,ABCO10309996,2 Mewburn Avenue,Balmoral,Auckland,2 Mewburn Avenue Balmoral Auckland,1024,Lot 17 Dp 8934,,5500,solid fuel - installation of an free standing solid fuel heater ethos genesis
2983,Auckland,Auckland,14-Jul-20,ABCO10309921,27 Calvin Place,Avondale,Auckland,27 Calvin Place Avondale Auckland,1026,Lot 12 Dp 57904,,4998,installation of solid wood burner
3004,Auckland,Auckland,15-Jul-20,ABCO10310166,20 Ennismore Road,Mount Albert,Auckland,20 Ennismore Road Mount Albert Auckland,1025,Lot 13 Dp 16628,,4347,sldfuel - installation of a solid fuel heater to manufacturers specifications
3005,Auckland,Auckland,15-Jul-20,ABCO10310168,85 Marua Road,Ellerslie,Auckland,85 Marua Road Ellerslie Auckland,1051,"Flat 1 Dp 139718, 1/2 Sh Lot 204 Dp 17333",,4500,sldfuel - installation of an insert solid wood fire kent rata.
3028,Auckland,Auckland,16-Jul-20,ABCO10310167,4 Portman Road,Mount Wellington,Auckland,4 Portman Road Mount Wellington Auckland,1060,Flat 1 Dp 151762,,3000,sldfuel - installation of free standing wood burner
3029,Auckland,Auckland,16-Jul-20,ABCO10310164,10 Mount Royal Avenue,Mount Albert,Auckland,10 Mount Royal Avenue Mount Albert Auckland,1025,Lot 23 Dp 16603,,4500,sldfuel - installation of an insert solid wood fire metro smart
3092,Auckland,Auckland,21-Jul-20,ABCO10310330,50 Peacock Street,Glendowie,Auckland,50 Peacock Street Glendowie Auckland,1071,Lot 5 Dp 47184,,4500,dbc- solid fuel- install freestanding woodfire and 2 storey flue.
3093,Auckland,Auckland,21-Jul-20,ABCO10310721,43 Fernleigh Avenue,Royal Oak,Auckland,43 Fernleigh Avenue Royal Oak Auckland,1023,Lot 25B Dp 46570,,4500,solid fuel- install insert woodfire and flue into existing fireplace
